"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7","Given I am on the signup page","","Fri Apr 18 01:21:19 IST 2025","skipped","Fri Apr 18 01:21:19 IST 2025","","Sign up functionality: User should be able to create a new account","",""
"","9770","Given I am logged into the website","","Sat Apr 19 15:06:05 IST 2025","passed","Sat Apr 19 15:06:14 IST 2025","","Add to Cart functionality: User should be able to add a product to the cart","",""
"","1","hook:","","Sat Apr 19 15:07:42 IST 2025","failed","Sat Apr 19 15:07:42 IST 2025","","","",""
"","32","Then I should see the user dashboard","","Sat Apr 19 15:07:39 IST 2025","passed","Sat Apr 19 15:07:39 IST 2025","","Login functionality for success scenario: User should be able to login with valid credentials","",""
"","2911","When I add ""Hero Hoodie"" from Hot Sellers to the cart with size ""M"", color ""Black"", and quantity ""2""","","Sat Apr 19 15:06:16 IST 2025","passed","Sat Apr 19 15:06:19 IST 2025","","Add to Cart functionality: User should be able to add a product to the cart","",""
"","1145","Given I am on the login page","","Fri Apr 18 13:16:21 IST 2025","passed","Fri Apr 18 13:16:22 IST 2025","","The Internet Guinea Pig Website: As a user, I can log into the secure area","",""
"","2864","When I login with email ""testautomation@domain.com"" and password ""Welcome@123""","","Fri Apr 18 01:54:54 IST 2025","passed","Fri Apr 18 01:54:57 IST 2025","","Login functionality: User should be able to login with valid credentials","",""
"","3096","When I login with email ""roni_cost@example.com"" and password ""SuperSecretPassword""","","Sat Apr 19 15:07:20 IST 2025","passed","Sat Apr 19 15:07:23 IST 2025","","Login functionality for invalid scenario: As a user, I can log into the secure area","",""
"","0","When I enter account details with random email","","Sat Apr 19 15:07:42 IST 2025","skipped","Sat Apr 19 15:07:42 IST 2025","","Sign up functionality: User should be able to create a new account","",""
"","65301","User completes a purchase successfully","","Sat Apr 19 16:13:54 IST 2025","broken","Sat Apr 19 16:14:59 IST 2025","","Checkout functionality","",""
"","6046","And I add ""Hero Hoodie"" from Hot Sellers to the cart with size ""M"", color ""Black"", and quantity ""1""","","Sat Apr 19 16:00:14 IST 2025","passed","Sat Apr 19 16:00:20 IST 2025","","Checkout functionality: User completes a purchase successfully","",""
"","0","Then I should see account creation success message","","Fri Apr 18 01:21:19 IST 2025","skipped","Fri Apr 18 01:21:19 IST 2025","","Sign up functionality: User should be able to create a new account","",""
"","16258","Given I am logged into the website","","Sat Apr 19 15:59:53 IST 2025","passed","Sat Apr 19 16:00:09 IST 2025","","Checkout functionality: User completes a purchase successfully","",""
"","38","Then I should see the user dashboard","","Fri Apr 18 13:16:37 IST 2025","passed","Fri Apr 18 13:16:37 IST 2025","","Login functionality: User should be able to login with valid credentials","",""
"","1816","And I navigate to the homepage","","Sat Apr 19 15:06:14 IST 2025","passed","Sat Apr 19 15:06:16 IST 2025","","Add to Cart functionality: User should be able to add a product to the cart","",""
"","0","Then I should see a flash message saying ""The account sign-in was incorrect or your account is disabled temporarily. Please wait and try again later.""","","Fri Apr 18 01:08:04 IST 2025","skipped","Fri Apr 18 01:08:04 IST 2025","","The Internet Guinea Pig Website: As a user, I can log into the secure area","",""
"","225","When I enter login credentials with email ""validuser@example.com"" and password ""ValidPassword123""","","Fri Apr 18 01:19:10 IST 2025","broken","Fri Apr 18 01:19:10 IST 2025","","Login functionality: User should be able to login with valid credentials","",""
"","10042","And I place the order","","Sat Apr 19 16:01:07 IST 2025","broken","Sat Apr 19 16:01:17 IST 2025","","Checkout functionality: User completes a purchase successfully","",""
"","1","hook:","","Fri Apr 18 13:16:37 IST 2025","failed","Fri Apr 18 13:16:37 IST 2025","","","",""
"","1","hook:","","Sat Apr 19 16:01:17 IST 2025","failed","Sat Apr 19 16:01:17 IST 2025","","","",""
"","39","Then I should see the user dashboard","","Fri Apr 18 01:54:57 IST 2025","passed","Fri Apr 18 01:54:57 IST 2025","","Login functionality: User should be able to login with valid credentials","",""
"","180","When I enter login credentials with email ""anotheruser@example.com"" and password ""AnotherPassword1""","","Fri Apr 18 01:19:12 IST 2025","broken","Fri Apr 18 01:19:13 IST 2025","","Login functionality: User should be able to login with valid credentials","",""
"","1","And I sign out","","Sat Apr 19 16:01:17 IST 2025","skipped","Sat Apr 19 16:01:17 IST 2025","","Checkout functionality: User completes a purchase successfully","",""
"","7041","Given I am on the login page","","Fri Apr 18 01:54:47 IST 2025","passed","Fri Apr 18 01:54:54 IST 2025","","Login functionality: User should be able to login with valid credentials","",""
"","13453","When I fill in the new shipping address details","","Sat Apr 19 16:00:44 IST 2025","passed","Sat Apr 19 16:00:58 IST 2025","","Checkout functionality: User completes a purchase successfully","",""
"","10561","User should be able to login with valid credentials","","Sat Apr 19 16:15:19 IST 2025","passed","Sat Apr 19 16:15:30 IST 2025","","Login functionality for success scenario","",""
"","63","Then I should see an error message","","Fri Apr 18 01:54:44 IST 2025","passed","Fri Apr 18 01:54:44 IST 2025","","The Internet Guinea Pig Website: As a user, I can log into the secure area","",""
"","24700","User should be able to add a product to the cart","","Sat Apr 19 16:13:26 IST 2025","failed","Sat Apr 19 16:13:50 IST 2025","","Add to Cart functionality","",""
"","1","When I enter account details with random email","","Fri Apr 18 01:21:19 IST 2025","skipped","Fri Apr 18 01:21:19 IST 2025","","Sign up functionality: User should be able to create a new account","",""
"","216","When I enter login credentials with email ""testautomation@domain.com"" and password ""Welcome@123""","","Fri Apr 18 01:20:59 IST 2025","broken","Fri Apr 18 01:20:59 IST 2025","","The Internet Guinea Pig Website: As a user, I can log into the secure area","",""
"","1213","Given I am on the login page","","Sat Apr 19 15:07:23 IST 2025","passed","Sat Apr 19 15:07:24 IST 2025","","Login functionality for invalid scenario: As a user, I can log into the secure area","",""
"","0","hook:","","Sat Apr 19 15:07:26 IST 2025","failed","Sat Apr 19 15:07:26 IST 2025","","","",""
"","2126","When I login with email ""fake_user@example.com"" and password ""barfoo""","","Fri Apr 18 13:16:22 IST 2025","passed","Fri Apr 18 13:16:24 IST 2025","","The Internet Guinea Pig Website: As a user, I can log into the secure area","",""
"","1","Then I should see account creation success message","","Sat Apr 19 15:07:42 IST 2025","skipped","Sat Apr 19 15:07:42 IST 2025","","Sign up functionality: User should be able to create a new account","",""
"","9031","And I select the shipping method","","Sat Apr 19 16:00:58 IST 2025","passed","Sat Apr 19 16:01:07 IST 2025","","Checkout functionality: User completes a purchase successfully","",""
"","1","hook:","","Sat Apr 19 15:06:32 IST 2025","failed","Sat Apr 19 15:06:32 IST 2025","","","",""
"","14138","And I click on the ""Proceed to Checkout"" button","","Sat Apr 19 16:00:30 IST 2025","passed","Sat Apr 19 16:00:44 IST 2025","","Checkout functionality: User completes a purchase successfully","",""
"","1232","Given I am on the login page","","Fri Apr 18 01:54:41 IST 2025","passed","Fri Apr 18 01:54:42 IST 2025","","The Internet Guinea Pig Website: As a user, I can log into the secure area","",""
"","10079","Then I should see a flash message saying ""My Account""","","Fri Apr 18 01:08:45 IST 2025","broken","Fri Apr 18 01:08:55 IST 2025","","The Internet Guinea Pig Website: As a user, I can log into the secure area","",""
"","2582","When I login with ""testautomation@domain.com"" and ""Welcome@123""","","Fri Apr 18 01:08:42 IST 2025","passed","Fri Apr 18 01:08:45 IST 2025","","The Internet Guinea Pig Website: As a user, I can log into the secure area","",""
"","54","Then I should see an error message","","Fri Apr 18 13:16:24 IST 2025","passed","Fri Apr 18 13:16:24 IST 2025","","The Internet Guinea Pig Website: As a user, I can log into the secure area","",""
"","1967","When I login with email ""fake_user@example.com"" and password ""barfoo""","","Sat Apr 19 15:07:24 IST 2025","passed","Sat Apr 19 15:07:26 IST 2025","","Login functionality for invalid scenario: As a user, I can log into the secure area","",""
"","183","When I enter login credentials with email """"fake_user@example.com"""" and password """"barfoo""""","","Fri Apr 18 01:18:54 IST 2025","broken","Fri Apr 18 01:18:55 IST 2025","","The Internet Guinea Pig Website: As a user, I can log into the secure area","",""
"","236","And I proceed to payment","","Sat Apr 19 16:01:07 IST 2025","passed","Sat Apr 19 16:01:07 IST 2025","","Checkout functionality: User completes a purchase successfully","",""
"","233","When I enter login credentials with email ""testautomation@domain.com"" and password ""Welcome@123""","","Fri Apr 18 01:23:03 IST 2025","broken","Fri Apr 18 01:23:03 IST 2025","","Login functionality: User should be able to login with valid credentials","",""
"","66","Then I should see an error message","","Sat Apr 19 15:07:26 IST 2025","passed","Sat Apr 19 15:07:26 IST 2025","","Login functionality for invalid scenario: As a user, I can log into the secure area","",""
"","12","User should be able to create a new account","","Sat Apr 19 16:15:33 IST 2025","skipped","Sat Apr 19 16:15:33 IST 2025","","Sign up functionality","",""
"","240","When I enter login credentials with email ""roni_cost@example.com"" and password ""SuperSecretPassword""","","Fri Apr 18 01:22:51 IST 2025","broken","Fri Apr 18 01:22:51 IST 2025","","The Internet Guinea Pig Website: As a user, I can log into the secure area","",""
"","10039","When I login with ""roni_cost@example.com"" and ""SuperSecretPassword""","","Fri Apr 18 01:07:42 IST 2025","broken","Fri Apr 18 01:07:52 IST 2025","","The Internet Guinea Pig Website: As a user, I can log into the secure area","",""
"","15129","When I fill in the shipping address details","","Sat Apr 19 15:30:43 IST 2025","broken","Sat Apr 19 15:30:58 IST 2025","","Checkout functionality: User completes a purchase successfully","",""
"","1799","And I should see the item in the shopping cart","","Sat Apr 19 10:34:02 IST 2025","failed","Sat Apr 19 10:34:04 IST 2025","","Add to Cart functionality: User should be able to add a product to the cart","",""
"","216","When I enter login credentials with email """"testautomation@domain.com"""" and password """"Welcome@123""""","","Fri Apr 18 01:18:50 IST 2025","broken","Fri Apr 18 01:18:51 IST 2025","","The Internet Guinea Pig Website: As a user, I can log into the secure area","",""
"","10019","When I login with ""fake_user@example.com"" and ""barfoo""","","Fri Apr 18 01:07:54 IST 2025","broken","Fri Apr 18 01:08:04 IST 2025","","The Internet Guinea Pig Website: As a user, I can log into the secure area","",""
"","2891","When I login with email ""testautomation@domain.com"" and password ""Welcome@123""","","Sat Apr 19 15:07:36 IST 2025","passed","Sat Apr 19 15:07:39 IST 2025","","Login functionality for success scenario: User should be able to login with valid credentials","",""
"","3384","As a user, I can log into the secure area","","Sat Apr 19 16:15:13 IST 2025","passed","Sat Apr 19 16:15:16 IST 2025","","Login functionality for invalid scenario","",""
"","4988","And I navigate to the homepage","","Sat Apr 19 16:00:09 IST 2025","passed","Sat Apr 19 16:00:14 IST 2025","","Checkout functionality: User completes a purchase successfully","",""
"","0","hook:","","Fri Apr 18 13:16:24 IST 2025","failed","Fri Apr 18 13:16:24 IST 2025","","","",""
"","10250","And I click on the cart icon","","Sat Apr 19 16:00:20 IST 2025","passed","Sat Apr 19 16:00:30 IST 2025","","Checkout functionality: User completes a purchase successfully","",""
"","2","Then I should see a confirmation message ""Thank you for your purchase!""","","Sat Apr 19 16:01:17 IST 2025","skipped","Sat Apr 19 16:01:17 IST 2025","","Checkout functionality: User completes a purchase successfully","",""
"","1845","When I login with email ""fake_user@example.com"" and password ""barfoo""","","Fri Apr 18 01:54:42 IST 2025","passed","Fri Apr 18 01:54:44 IST 2025","","The Internet Guinea Pig Website: As a user, I can log into the secure area","",""
"","158","When I enter login credentials with email ""fake_user@example.com"" and password ""barfoo""","","Fri Apr 18 01:22:53 IST 2025","broken","Fri Apr 18 01:22:53 IST 2025","","The Internet Guinea Pig Website: As a user, I can log into the secure area","",""
"","2856","When I login with email ""roni_cost@example.com"" and password ""SuperSecretPassword""","","Fri Apr 18 01:54:38 IST 2025","passed","Fri Apr 18 01:54:41 IST 2025","","The Internet Guinea Pig Website: As a user, I can log into the secure area","",""
